null2,bsA
-77304.603883,-77304.447442
-77156.026964,-77156.026964
-75853.672381,-75853.667440
-77323.510154,-77323.470417
-76299.150996,-76299.150996
-76620.862547,-76620.862546
-76389.631247,-76389.631247
-76619.247677,-76619.081568
-77205.701778,-77205.701778
-76955.543377,-76955.543377
-76004.065898,-76004.054550
-76338.164020,-76338.164020
-76837.786646,-76837.786646
-77555.389757,-77555.389758
-77592.398600,-77592.398600
-76904.495694,-76904.483797
-76870.700838,-76870.700838
-76417.260868,-76417.260868
-77144.935824,-77144.935824
-77380.456493,-77380.456493
-76955.741407,-76955.741407
-77219.089485,-77219.059920
-76772.334407,-76772.334407
-77406.011259,-77405.959674
-76362.859816,-76362.859816
-77019.674599,-77019.674599
-76662.660952,-76662.660952
-76913.287723,-76913.287723
-76428.924915,-76428.924915
-76013.730371,-76013.730371
-76950.644088,-76950.644088
-76799.570493,-76799.567434
-77194.110835,-77194.110834
-76818.653046,-76817.845202
-76759.071236,-76759.070769
-77256.513060,-77256.513060
-76499.565385,-76499.565384
-76281.120410,-76281.120410
-76662.117006,-76662.086253
-76762.729539,-76762.729539
-76853.729435,-76853.414898
-77361.917170,-77361.917170
-77377.475249,-77377.475249
-76689.849806,-76689.849806
-76316.623514,-76316.585793
-76953.472345,-76953.472262
-77234.324092,-77234.324092
-77055.460500,-77055.198656
-77716.310009,-77716.310009
-77224.752003,-77224.752003
-75799.646085,-75798.477156
-76146.368637,-76146.368637
-76836.953359,-76836.953359
-76613.862986,-76613.862986
-76493.679494,-76493.679494
-77100.419423,-77100.250721
-77332.557169,-77332.557168
-76762.301621,-76762.301621
-76520.379486,-76520.182838
-76903.118096,-76903.118097
-76632.911055,-76632.911055
-76344.134055,-76344.134055
-76906.353797,-76906.353797
-76991.755519,-76991.748970
-76946.250391,-76946.250391
-76523.999637,-76523.717304
-76758.311552,-76758.311552
-76851.990788,-76847.954171
-76960.739662,-76960.739662
-77239.177161,-77239.177161
-76993.610613,-76993.610613
-77529.600171,-77529.600119
-76943.774302,-76943.774302
-76767.230509,-76766.247127
-77118.966756,-77118.315018
-77241.904588,-77241.904588
-77548.113765,-77548.113765
-75847.489355,-75847.489355
-76599.183881,-76599.183881
-77215.226760,-77215.226760
-77099.929578,-77099.929578
-76611.998106,-76611.810498
-76727.861933,-76727.835901
-76992.958585,-76992.958585
-76647.275946,-76647.275946
-76784.455112,-76784.428421
-76681.470287,-76681.470287
-77071.943494,-77069.752319
-76793.465756,-76793.279981
-76436.221629,-76436.221629
-76547.952660,-76547.952659
-77288.633525,-77288.303598
-76252.001237,-76251.998420
-76928.128547,-76927.854159
-77105.911053,-77105.911053
-76681.689461,-76681.615862
-76416.514398,-76416.514398
-77002.807781,-77002.584785
-76466.079540,-76466.079540
-76558.571759,-76558.571759
-77190.330941,-77189.286716
-77132.031063,-77131.908964
-76152.291054,-76152.291054
-76258.195774,-76258.195774
-76526.392736,-76523.266978
-77372.951952,-77372.951953
-76959.087295,-76959.087295
-76862.098705,-76862.098705
-76967.581653,-76967.581653
-76908.355581,-76908.355581
-76830.113588,-76830.113588
-76129.207395,-76129.207395
-76318.947956,-76318.947956
-77299.717026,-77299.717026
-76511.561662,-76511.561461
-76950.590214,-76950.590214
-76127.636446,-76127.636446
-77005.251095,-77005.251095
-77236.072730,-77236.048904
-77075.118249,-77075.118249
-76952.006245,-76952.006245
-76758.754756,-76758.754314
-76014.932480,-76014.928544
-76648.665858,-76648.665858
-76621.741524,-76621.741524
-76627.157609,-76626.858047
-77086.475630,-77086.475630
-76803.232837,-76803.232837
-77302.444516,-77302.444516
-78106.327987,-78106.277459
-77400.963188,-77400.963188
-77423.138035,-77423.138035
-76641.247282,-76641.225257
-77112.045134,-77111.912906
-77094.884902,-77094.261510
-76714.185081,-76713.389139
-76979.591788,-76979.591788
-76953.772847,-76953.772846
-76354.636360,-76353.565828
-76976.231423,-76976.231423
-77181.959567,-77181.886821
-76888.542604,-76888.542604
-77005.830761,-77005.829952
-76889.624115,-76889.624115
-77120.660882,-77120.660881
-77099.435683,-77099.435683
-76718.866316,-76718.866316
-77495.423847,-77495.423847
-76484.141087,-76484.141087
-77670.005313,-77669.964156
-76681.792859,-76681.745427
